setup_base,signals,triggered,entry_rate,win_rate,target_rate,expectancy_r,avg_win_r,avg_loss_r,profit_factor,max_drawdown_r,avg_hold
Breakout,47,39,0.8297872340425532,0.46153846153846156,0.3076923076923077,0.11339976053657796,1.394633099380198,-0.9848002441865252,1.2138500234188891,-6.959418702865756,10.23076923076923
Other,113,104,0.9203539823008849,0.4326923076923077,0.34615384615384615,0.053978889174576154,1.4300038208931443,-0.9955316519667046,1.0955762965321632,-14.710908217835746,8.201923076923077
Pullback,252,232,0.9206349206349206,0.4525862068965517,0.375,0.18094388680183465,1.569687973770243,-0.9672303583295266,1.3417419236741195,-21.24485987760241,9.051724137931034
