rs_bucket,signals,triggered,entry_rate,win_rate,target_rate,expectancy_r,avg_win_r,avg_loss_r,profit_factor,max_drawdown_r,avg_hold
60-69,135,123,0.9111111111111111,0.4065040650406504,0.3170731707317073,-0.004805530480174534,1.4708202405841642,-1.015508113400954,0.9920266617210437,-11.130648072653573,9.91869918699187
70-79,104,93,0.8942307692307693,0.3978494623655914,0.3333333333333333,0.035708226602588745,1.574270599054499,-0.9808419123388517,1.0604594494693202,-11.24796972267358,8.56989247311828
80-89,103,93,0.9029126213592233,0.5161290322580645,0.3763440860215054,0.3303950005487135,1.487265971451307,-0.9036007017473865,1.7556615805486961,-6.530934679301522,9.13978494623656
90+,70,66,0.9428571428571428,0.5,0.45454545454545453,0.28119480298634025,1.5482731560916114,-0.985883550118931,1.570442225052682,-7.994083204376104,7.348484848484849
