regime,signals,triggered,entry_rate,win_rate,target_rate,expectancy_r,avg_win_r,avg_loss_r,profit_factor,max_drawdown_r,avg_hold
BULLISH,382,345,0.9031413612565445,0.4405797101449275,0.3565217391304348,0.10613160723053369,1.50726405016772,-0.9973509385023799,1.1902210289371324,-21.05039874596016,9.15072463768116
NEUTRAL,30,30,1.0,0.5333333333333333,0.4,0.5133324126191324,1.5729168343385722,-0.6976212122030844,2.5767840882693487,-3.2310333333333325,6.5
