timeframe,signal_date,ticker,rank,regime,regime_score,quality_score,rs_percentile,rs_excess,rsi,vol_ratio,vol_z,atr_pct,setup,signal_close,entry_trigger,planned_stop,planned_target,planned_rr,turnover20,triggered,outcome,entry_date,entry_price,exit_date,exit_price,hold_sessions,gross_r,net_r,resolved_date,setup_base,score_bucket,rs_bucket
1hari,2025-04-25,MPMX.JK,1,NEUTRAL,3,85.0,77.45664739884393,0.11132335993232834,71.2363625249146,1.1805549222215128,0.5834989600773708,0.019371874966585493,Hammer,770.9766235351562,775.0,750.0,825.0,2.0,2394713163.522339,True,TARGET,2025-04-28,775.0,2025-05-23,825.0,17.0,2.0,1.870999999999999,2025-05-23,Other,85+,70-79
1hari,2025-04-25,MGRO.JK,2,NEUTRAL,3,85.0,73.757225433526,0.08971466383497495,61.619247731098234,0.9636537372234816,0.046757939054183975,0.024172890250461643,Bullish Pullback/Reclaim,700.0,700.0,670.0,760.0,2.0,3166616000.0,True,TARGET,2025-04-28,700.0,2025-04-30,760.0,3.0,2.0,1.901666666666665,2025-04-30,Pullback,85+,70-79
1hari,2025-04-28,STAA.JK,1,NEUTRAL,3,100.0,79.76878612716763,0.13818164213001083,62.93237267069338,1.7225476420296892,2.1791363215866957,0.03336330112831262,Breakout Confirmed,776.048095703125,780.0,740.0,860.0,2.0,7163452733.97522,True,STOP,2025-04-29,780.3594740125868,2025-05-08,740.0,7.0,-1.0,-1.0748408963426228,2025-05-08,Breakout,85+,70-79
1hari,2025-04-28,CASA.JK,2,NEUTRAL,3,85.0,93.75722543352602,0.46574265290996775,60.28963024634331,0.39369375313476007,0.04705039726484254,0.040569220344582484,Bullish Pullback/Reclaim,780.0,780.0,730.0,880.0,2.0,4947858250.0,True,TARGET,2025-04-29,780.0,2025-05-09,880.0,8.0,2.0,1.9325999999999999,2025-05-09,Pullback,85+,90+
1hari,2025-05-05,CARE.JK,1,NEUTRAL,3,85.0,85.54913294797689,0.23975788646087226,63.3074709043656,1.123842164392697,0.38054818951013786,0.034829094235389234,Bullish Pullback/Reclaim,212.0,212.0,200.0,236.0,2.0,4107156900.0,True,TARGET,2025-05-06,212.0,2025-05-16,236.0,7.0,2.0,1.9243333333333343,2025-05-16,Pullback,85+,80-89
1hari,2025-05-06,ANJT.JK,1,BULLISH,4,80.0,98.26589595375722,1.4580685661529529,79.97936090050115,4.352276829228273,2.237248787507085,0.026285759512030688,Breakout Confirmed,1755.0,1755.0,1685.0,1895.0,2.0,5495533250.0,True,TIME_EXIT,2025-05-07,1760.0,2025-06-11,1745.0,20.0,-0.2,-0.2933666666666674,2025-06-11,Breakout,80-84,90+
1hari,2025-05-06,BUKA.JK,2,BULLISH,4,75.0,87.97687861271676,0.2831416228449457,58.909477541885394,0.5309283405948124,-0.7953286256609468,0.04672718424209266,Hammer,147.0,147.0,136.0,169.0,2.0,26040621500.0,True,STOP,2025-05-07,147.0,2025-05-19,136.0,7.0,-1.0,-1.0509545454545473,2025-05-19,Other,75-79,80-89
1hari,2025-05-07,TUGU.JK,1,BULLISH,4,100.0,69.36416184971098,0.0705688577104866,61.2894507665187,1.6756923238408556,1.0401941587258676,0.03170712696600013,Bullish Engulfing,897.6411743164062,900.0,855.0,990.0,2.0,2336876299.694824,True,TIME_EXIT,2025-05-08,900.0,2025-06-12,916.0382690429688,20.0,0.3564059787326389,0.27551496378580903,2025-06-12,Other,85+,60-69
1hari,2025-05-08,AALI.JK,1,BULLISH,4,90.0,67.74566473988439,0.0798690332323555,64.69574049580086,2.246952249347459,1.7833519111347442,0.021938195186686,Breakout Confirmed,5597.88818359375,5600.0,5400.0,6000.0,2.0,3784481491.1621094,True,TIME_EXIT,2025-05-09,5600.0,2025-06-13,5645.1279296875,20.0,0.2256396484375,0.11307554931640425,2025-06-13,Breakout,85+,60-69
1hari,2025-05-08,BNLI.JK,2,BULLISH,4,85.0,96.06936416184972,0.8298191411083369,57.55125086403988,0.6637195914744044,-0.9366696363834113,0.04757601136424338,Bullish Pullback/Reclaim,2315.8408203125,2320.0,2150.0,2660.0,2.0,1220333993.1152344,True,STOP,2025-05-09,2325.7374165852866,2025-05-21,2150.0,7.0,-1.0,-1.0504366474545077,2025-05-21,Pullback,85+,90+
